country,app,installs,daus,retention_rate_d7,roas_d7,cost
Dominican Republic,Merge HomeTown,1,0.75,1.0,0.0,0.0
East Timor,Merge Fever,1,0.125,0.0,0.0,0.0
El Salvador,Tales and Dragon,1,0.375,0.0,0.0,0.0
Fiji,Merge Fever,1,0.25,0.0,0.0,0.0
Gabon,Merge Fever,1,0.75,1.0,0.0,0.0
Guadeloupe,Merge Fever,1,0.75,0.0,0.0,0.0
Guam,Merge Fever,1,3.375,0.0,0.2614,1.0561
Guatemala,Merge HomeTown,1,1.25,0.0,0.0,0.0
Guinea,Merge Fever,1,0.125,0.0,0.0,0.0
Honduras,Merge HomeTown,1,0.25,0.0,0.0,0.0
Ireland,Tales and Dragon,1,2.75,0.0,0.0,0.0
Israel,Merge HomeTown,1,6.875,0.0,0.0,0.0
Israel,Tales and Dragon,1,2.25,1.0,0.0,0.0
Kyrgyzstan,Merge HomeTown,1,0.625,0.0,0.0,0.0
Lao People's Democratic Republic,Merge HomeTown,1,0.125,0.0,0.0,0.0
Latvia,Merge HomeTown,1,3.25,0.0,0.0,0.0
Latvia,Tales and Dragon,1,0.25,0.0,0.0,0.0
Lebanon,Tales and Dragon,1,0.625,0.0,0.0,0.0
Libya,Merge HomeTown,1,0.5,0.0,0.0,0.0
Luxembourg,Tales and Dragon,1,0.125,0.0,0.0,0.0
"Macedonia, The Former Yugoslav Republic Of",Tales and Dragon,1,0.125,0.0,0.0,0.0
Malawi,Tales and Dragon,1,0.125,0.0,0.0,0.0
Maldives,Tales and Dragon,1,0.125,0.0,0.0,0.0
Martinique,Merge HomeTown,1,0.125,0.0,0.0,0.0
Mongolia,Merge HomeTown,1,0.375,0.0,0.0,0.0
Montenegro,Merge Fever,1,1.125,0.0,0.0,0.0
Montenegro,Tales and Dragon,1,0.5,1.0,0.0,0.0
Morocco,Merge HomeTown,1,1.375,0.0,0.0,0.0
Myanmar,Merge HomeTown,1,1.375,0.0,0.0,0.0
Nauru,Merge Fever,1,0.375,0.0,0.0,0.0
Nepal,Tales and Dragon,1,0.125,0.0,0.0,0.0
Nicaragua,Merge Fever,1,1.25,0.0,0.0,0.0
Norway,Merge HomeTown,1,2.75,0.0,0.0,0.0
"Palestinian Territory, Occupied",Tales and Dragon,1,0.125,0.0,0.0,0.0
Panama,Merge HomeTown,1,0.875,0.0,0.0,0.0
Paraguay,Merge HomeTown,1,0.875,0.0,0.0,0.0
Peru,Tales and Dragon,1,0.375,0.0,0.0,0.0
Puerto Rico,Merge HomeTown,1,2.875,1.0,0.0,0.0
Reunion,Merge HomeTown,1,0.875,1.0,0.0,0.0
Reunion,Tales and Dragon,1,0.25,0.0,0.0,0.0
Rwanda,Merge Fever,1,1.125,1.0,0.0,0.0
Saudi Arabia,Tales and Dragon,1,0.75,0.0,0.0,0.0
Serbia,Tales and Dragon,1,1.125,0.0,0.0,0.0
Slovakia,Merge HomeTown,1,6.125,0.0,0.0,0.0
Somalia,Merge Fever,1,0.25,0.0,0.0,0.0
Sudan,Tales and Dragon,1,0.125,0.0,0.0,0.0
Suriname,Merge Fever,1,0.5,0.0,0.0,0.0
Switzerland,Tales and Dragon,1,2.5,0.0,0.0,0.0
Syrian Arab Republic,Tales and Dragon,1,1.0,0.0,0.0,0.0
Tajikistan,Merge HomeTown,1,0.125,0.0,0.0,0.0
"Tanzania, United Republic Of",Merge Fever,1,0.875,0.0,0.0,0.0
Tonga,Merge Fever,1,0.125,0.0,0.0,0.0
Tonga,Merge HomeTown,1,0.375,0.0,0.0,0.0
Tunisia,Merge HomeTown,1,0.75,0.0,0.0,0.0
Uganda,Merge Fever,1,0.375,0.0,0.0,0.0
Uruguay,Tales and Dragon,1,1.125,0.0,0.0,0.0
Uzbekistan,Tales and Dragon,1,1.375,0.0,0.0,0.0
Virgin Islands (US),Merge Fever,1,0.125,0.0,0.0,0.0
Yemen,Merge HomeTown,1,0.375,0.0,0.0,0.0
Andorra,Merge HomeTown,0,1.25,0.0,0.0,0.0
Andorra,Tales and Dragon,0,0.125,0.0,0.0,0.0
Angola,Merge Fever,0,1.375,0.0,0.0,0.0
Armenia,Tales and Dragon,0,0.75,0.0,0.0,0.0
Bahamas,Merge Fever,0,2.875,0.0,0.0,1.3248
Bahamas,Merge HomeTown,0,0.25,0.0,0.0,0.0
Barbados,Merge Fever,0,1.125,0.0,0.0,0.0
Belize,Merge Fever,0,0.25,0.0,0.0,0.0
Belize,Merge HomeTown,0,0.25,0.0,0.0,0.0
Bermuda,Merge Fever,0,0.125,0.0,0.0,0.0
Bhutan,Merge HomeTown,0,0.25,0.0,0.0,0.0
